Date,Type,Weekly_Sales,Holiday,Holiday_Name
2010-02-12,A,20504.712634017207,2010-02-12,Super_Bowl
2010-02-12,B,12544.959218071243,2010-02-12,Super_Bowl
2010-02-12,C,10156.55487804878,2010-02-12,Super_Bowl
2010-09-10,A,19471.137524883874,2010-09-10,Labor_Day
2010-09-10,B,11844.41946949602,2010-09-10,Labor_Day
2010-09-10,C,10091.902404181186,2010-09-10,Labor_Day
2010-11-26,A,27614.01079946702,2010-11-26,Thanksgiving
2010-11-26,B,18935.304161545217,2010-11-26,Thanksgiving
2010-11-26,C,9673.36072413793,2010-11-26,Thanksgiving
2010-12-31,A,17305.419280958722,2010-12-31,Christmas
2010-12-31,B,10647.139611992945,2010-12-31,Christmas
2010-12-31,C,8194.27107266436,2010-12-31,Christmas
2011-02-11,A,20297.305950797872,2011-02-11,Super_Bowl
2011-02-11,B,12143.040604203152,2011-02-11,Super_Bowl
2011-02-11,C,10323.917122807017,2011-02-11,Super_Bowl
2011-09-09,A,19892.605341655715,2011-09-09,Labor_Day
2011-09-09,B,12044.921860670194,2011-09-09,Labor_Day
2011-09-09,C,9587.368474576271,2011-09-09,Labor_Day
2011-11-25,A,27187.291316472114,2011-11-25,Thanksgiving
2011-11-25,B,18538.479437340153,2011-11-25,Thanksgiving
2011-11-25,C,9718.924451827243,2011-11-25,Thanksgiving
2011-12-30,A,19300.41154855643,2011-12-30,Christmas
2011-12-30,B,12304.171417458945,2011-12-30,Christmas
2011-12-30,C,7876.800592105263,2011-12-30,Christmas
2012-02-10,A,21027.653864671436,2012-02-10,Super_Bowl
2012-02-10,B,12700.349921602789,2012-02-10,Super_Bowl
2012-02-10,C,10066.960841423948,2012-02-10,Super_Bowl
2012-09-07,A,20648.887582781455,2012-09-07,Labor_Day
2012-09-07,B,12350.871219298246,2012-09-07,Labor_Day
2012-09-07,C,10002.070325732899,2012-09-07,Labor_Day
