Dept,Weekly_Sales
1,19213.485087801088
2,43607.020113442115
3,11793.698515928516
4,25974.63023776224
5,21368.950300976994
6,4763.154956434317
7,24161.237412587412
8,30191.263516705516
9,20219.443603149604
10,18321.272351204352
11,14505.63823127137
12,4176.049485018727
13,30663.802634032632
14,14870.966037296037
16,14252.441256218905
17,10187.120497504678
18,7609.6737698494535
19,1690.780200892857
20,5528.787319297082
21,4982.850828282828
22,10790.205230352303
23,23943.920199272223
24,6358.3149148463535
25,8991.062931360202
26,7654.756641673933
27,1584.2866862535611
28,618.1869590070227
29,5653.655316503391
30,4118.197208467209
31,2342.1554356435645
32,6839.410055452865
33,6480.40299275497
34,15631.788352742298
35,2921.5998017371603
36,2024.9142862544904
37,3112.284879658385
38,61090.61956798757
39,11.12375
40,44900.70272727273
41,1970.7141680609777
42,5189.703416653648
43,1.1933333333333334
44,4665.397131072411
45,23.795455020920503
46,19944.741482517482
47,123.02329081632652
48,1359.6770434782609
49,8284.112727066817
50,2662.3596987179485
51,22.652556610664718
52,1928.9722406639005
54,112.77308807617399
55,10737.809470008953
56,3838.964474761255
58,3703.762490316701
59,699.5721445067634
60,347.49210745233967
65,45441.70622377622
67,7440.680292152292
71,5732.776471698114
72,50852.99397704591
74,13813.909414968104
77,372.325671641791
78,10.232227722772276
79,21973.04493240093
80,12326.68584578396
81,15470.400825174826
82,15469.631752913752
83,3383.923534789233
85,2264.733481995375
87,13418.882117039588
90,45232.08448795649
91,33687.91075835276
92,75204.87053146854
93,27012.63224797023
94,33864.67512660485
95,69824.42308003108
96,15280.257659354305
97,14262.39497689243
98,6856.4415183336205
99,420.17506447831187
