Store,Size,Weekly_Sales
1,151315,21742.767305699483
2,202307,26956.456098277213
3,37392,6379.519870388834
4,205863,29175.540011687932
5,34875,5065.283995321898
6,202505,21958.644586849852
7,70713,8377.771643737167
8,155078,13147.66386786726
9,125833,8804.885718166383
10,126512,26461.18941938626
11,207499,19330.71476878613
12,112238,14924.611766652875
13,219622,27394.392423749883
14,200898,28877.084776179057
15,123737,9043.716341314936
16,57197,7895.452961190856
17,93188,13019.173664798776
18,120653,15816.848937493627
19,203819,20420.761716572782
20,203742,29618.846447523585
21,140167,11326.163793211816
22,119557,15245.855802840262
23,114533,19839.563326013176
24,203819,19002.604956904997
25,128107,10343.039953945348
26,152513,14565.978043875684
27,204184,24892.840750147087
28,206302,18739.75327029703
29,93638,8185.783799872665
30,42988,8783.895284313725
31,203750,19757.98578244086
32,203007,16401.610084554122
33,39690,5735.503225806451
34,158114,13546.21077797374
35,103681,13986.600288175245
36,39910,8619.227545586575
37,39910,10308.81641289247
38,39690,7501.686481708147
39,184109,21081.960795731706
40,155083,13783.028706388084
41,196321,18029.713249154902
42,39690,11516.578908669851
43,41062,13457.137147102527
44,39910,6060.992797144057
45,118221,11692.22098616457
